timestamp,C-Central_PV-1,C-Central_PV-2,C-Commercial_PV,C-Residential_PV,C-Wind-1,C-Wind-2,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,N-Central_PV-1,N-Central_PV-2,N-Commercial_PV,N-Residential_PV,N-Wind-1,N-Wind-2,S-Central_PV-1,S-Central_PV-2,S-Commercial_PV,S-Residential_PV,outside_coal
20300123,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2616.62,0,0,0,0,0,0
20350100,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571.57,0.86478,0,0,0,0,0
20350101,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0
20350102,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524.79,0,0,0,0,0,0
20350103,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490.59,0,0,0,0,0,0
20350104,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460.32,0.86478,0,0,0,0,0
20350105,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463.93,0,0,0,0,0,0
20350106,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518.91,0,0,0,0,0,0
20350107,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2626.14,0.86478,0,0,0,0,0
20350108,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624.86,0,0,0,0,0,0
20350109,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2659.85,0,0,0,0,0,0
20350110,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571.56,0.86478,0,0,0,0,0
20350111,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558.9,0,0,0,0,0,0
20350112,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572.13,0,0,0,0,0,0
20350113,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463.43,0,0,0,0,0,0
20350114,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2439.62,0,0,0,0,0,0
20350115,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467.07,0.86478,0,0,0,0,0
20350116,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522.54,0.86478,0,0,0,0,0
20350117,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742.95,0,0,0,0,0,0
20350118,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2914.09,0.86478,0,0,0,0,0
20350119,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959.97,0.86478,0,0,0,0,0
20350120,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883.89,0,0,0,0,0,0
20350121,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864.51,0.86478,0,0,0,0,0
20350122,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762.26,0,0,0,0,0,0
20350123,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2616.62,0,0,0,0,0,0
