GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
G109041,45,Coal,2248.5830399999995
G109041,46,Coal,2248.5830399999995
G109041,47,Coal,2248.5830399999995
G109041,48,Coal,2248.5830399999995
G109041,49,Coal,2248.5830399999995
G109041,50,Coal,2248.5830399999995
G109041,51,Coal,2248.5830399999995
G109041,52,Coal,2248.5830399999995
G109041,53,Coal,2248.5830399999995
G109041,54,Coal,2248.5830399999995
G109041,55,Coal,2248.5830399999995
G109041,56,Coal,2248.5830399999995
G109041,57,Coal,2248.5830399999995
G109041,58,Coal,2248.5830399999995
G109041,59,Coal,2248.5830399999995
G109041,60,Coal,2248.5830399999995
G109041,61,Coal,2248.5830399999995
G109041,62,Coal,2248.5830399999995
G109041,63,Coal,2248.5830399999995
G109041,64,Coal,2248.5830399999995
G109041,65,Coal,2248.5830399999995
G109041,66,Coal,2248.5830399999995
G109041,67,Coal,2248.5830399999995
G109041,68,Coal,2248.5830399999995
G109041,69,Coal,2248.5830399999995
G109041,70,Coal,2248.5830399999995
G109041,71,Coal,2248.5830399999995
G109041,72,Coal,2248.5830399999995
G109041,73,Coal,2248.5830399999995
G109041,74,Coal,2248.5830399999995
G109041,75,Coal,2248.5830399999995
G109041,76,Coal,2248.5830399999995
G109041,77,Coal,2248.5830399999995
G109041,78,Coal,2248.5830399999995
G109041,79,Coal,2248.5830399999995
G109041,80,Coal,2248.5830399999995
G109041,81,Coal,2248.5830399999995
G109041,82,Coal,2248.5830399999995
G109041,83,Coal,2248.5830399999995
G109041,84,Coal,2248.5830399999995
G109041,85,Coal,2248.5830399999995
G109041,86,Coal,2248.5830399999995
G109041,87,Coal,2248.5830399999995
G109041,88,Coal,2248.5830399999995
G109041,89,Coal,2248.5830399999995
G109041,90,Coal,2248.5830399999995
G109041,91,Coal,2248.5830399999995
G109041,92,Coal,2248.5830399999995
G109041,93,Coal,2248.5830399999995
G109041,94,Coal,2248.5830399999995
G109041,95,Coal,2248.5830399999995
G109041,96,Coal,2248.5830399999995
G109042,1,Coal,2248.5830399999995
G109042,2,Coal,2248.5830399999995
